Hero,Win phrase,Lose phrase
Abaddon,**{username}** взял на себя всю ответственность за победу на **{hero}** со счетом **{score}**,**{username}** не смог противостоять на **{hero}** и заработал поражение со счетом **{score}**
Alchemist,**{username}** проявил свои алхимические способности на **{hero}** и одержал победу со счетом **{score}**,**{username}** не смог создать зелья бессмертия на **{hero}** и потерпел поражение со счетом **{score}**
Ancient Apparition,**{username}** заморозил соперника на **{hero}** и выиграл со счетом **{score}**,**{username}** не смог заморозить противника на **{hero}** и потерпел поражение со счетом **{score}**
Anti-Mage,**{username}** использовал магические навыки на **{hero}** и одержал победу со счетом **{score}**,**{username}** не смог найти магические источники на **{hero}** и потерпел поражение со счетом **{score}**
Arc Warden,**{username}** использовал свои знания на **{hero}** и одержал победу со счетом **{score}**,**{username}** не смог создать клонов на **{hero}** и потерпел поражение со счетом **{score}**
Bane,**{username}** дал понять врагам кто здесь главный на **{hero}** со счетом **{score}**,**{username}** не смог удержаться от кошмаров и проиграл на **{hero}** со счетом **{score}**
Beastmaster,**{username}** собрал свою стаю и одолел врагов на **{hero}** со счетом **{score}**,**{username}** не смог овладеть дикими зверями на **{hero}** со счетом **{score}**
Bloodseeker,**{username}** напоил врагов кровью и победил на **{hero}** со счетом **{score}**,**{username}** не смог удержаться на ногах после потери крови на **{hero}** со счетом **{score}**
Bounty Hunter,**{username}** нашел врагов в их укрытиях и произвел убийство на **{hero}** со счетом **{score}**,**{username}** не смог убегать от мести на **{hero}** со счетом **{score}**
Brewmaster,**{username}** бросил врагам вызов на **{hero}** и победил со счетом **{score}**,**{username}** не смог контролировать свой гнев на **{hero}** и проиграл со счетом **{score}**
Bristleback,**{username}** заставил врагов отступить с помощью своих игл на **{hero}** со счетом **{score}**,**{username}** не смог защитить свою спину на **{hero}** и проиграл со счетом **{score}**
Broodmother,**{username}** заставил врагов спрятаться в паутине на **{hero}** и победил со счетом **{score}**,**{username}** не смог справиться со своими потомками на **{hero}** и проиграл со счетом **{score}**
Batrider,**{username}** находил врагов в темноте на **{hero}** и победил со счетом **{score}**,**{username}** не смог управлять своим огнем на **{hero}** и проиграл со счетом **{score}**
Chen,**{username}** прокормил армию на **{hero}** и разнес врага со счетом **{score}**,**{username}** не смог управлять **{hero}** и проиграл со счетом **{score}**
Clinkz,**{username}** сжег врага на **{hero}** и выиграл со счетом **{score}**,**{username}** забыл зарядить стрелы для **{hero}** и проиграл со счетом **{score}**
Clockwerk,**{username}** запустил врага в круговую прогонку на **{hero}** и одержал победу со счетом **{score}**,**{username}** забыл засекретить свой **{hero}** и проиграл со счетом **{score}**
Crystal Maiden,**{username}** заморозил врага на **{hero}** и одержал победу со счетом **{score}**,**{username}** не смог контролировать магию в **{hero}** и проиграл со счетом **{score}**
Centaur Warrunner,**{username}** крикнул на врага с **{hero}** и одержал победу со счетом **{score}**,**{username}** не смог защитить свою команду с помощью **{hero}** и проиграл со счетом **{score}**
Dark Seer,**{username}** разогнался на **{hero}** и сделал счет **{score}**!,"**{username}** не смог выиграть на **{hero}** со счетом **{score}**, но его стены были впечатляющими."
Dazzle,"**{username}** победил на **{hero}** со счетом **{score}**, и его лечение было более эффективным, чем у всех врачей.",**{username}** проиграл на **{hero}** со счетом **{score}** и теперь нуждается в лечении.
Death Prophet,**{username}** убедительно победил на **{hero}** со счетом **{score}** и проклял всех своих врагов.,**{username}** не смог победить на **{hero}** со счетом **{score}** и перешел в мир мертвых.
Disruptor,**{username}** использовал свои молнии на **{hero}** и победил со счетом **{score}**.,**{username}** не смог удержать врагов на месте на **{hero}** и проиграл со счетом **{score}**.
Doom,**{username}** заточил своих врагов на **{hero}** и победил со счетом **{score}**.,**{username}** был проклят и проиграл на **{hero}** со счетом **{score}**.
Dragon Knight,**{username}** сражался на **{hero}** как настоящий рыцарь и победил со счетом **{score}**.,**{username}** не смог превратиться в дракона на **{hero}** и проиграл со счетом **{score}**.
Drow Ranger,**{username}** показал свою меткость на **{hero}** и выиграл со счетом **{score}**.,**{username}** не смог попасть в цель на **{hero}** и проиграл со счетом **{score}**.
Dark Willow,**{username}** использовал все свои темные тайны на **{hero}** и победил со счетом **{score}**.,**{username}** не смог запутать своих врагов на **{hero}** и проиграл со счетом **{score}**.
Earthshaker,**{username}** привел землю в колебание на **{hero}** со счетом **{score}**,**{username}** не смог удержаться на ногах в трясущейся земле на **{hero}** со счетом **{score}**
Ember Spirit,**{username}** поджигал костры победы на **{hero}** со счетом **{score}**,**{username}** был уничтожен в огненной буре на **{hero}** со счетом **{score}**
Enchantress,**{username}** заколдовал врагов на **{hero}** со счетом **{score}**,**{username}** не смог обратить на свою сторону природу на **{hero}** со счетом **{score}**
Enigma,**{username}** вызвал помощь из параллельных миров на **{hero}** со счетом **{score}**,**{username}** попал в чёрную дыру на **{hero}** со счетом **{score}**
Elder Titan,**{username}** разрушил землю и небо на **{hero}** со счетом **{score}**,**{username}** уснул во время медитации на **{hero}** со счетом **{score}**
Earth Spirit,**{username}** увлек врагов в глубины земли на **{hero}** со счетом **{score}**,**{username}** оказался под каменным ливнем на **{hero}** со счетом **{score}**
Faceless Void,**{username}** сыграл как будто бы времени у него было более чем достаточно на **{hero}** и выиграл со счетом **{score}**,**{username}** на **{hero}** похоже забыл как пользоваться своей силой и проиграл со счетом **{score}**
Huskar,"**{username}** на **{hero}** наверное думал, что победа приходит тем, кто бросается в огонь и действительно победил со счетом **{score}**","**{username}** на **{hero}** похоже забыл, что победа не приходит тем, кто любит огонь и проиграл со счетом **{score}**"
